"ID","genero","idade","profal","trabalha","estadocivil","filhos","idadefilho","facebook","twitter","whatsapp","linkedin","youtube","instagram","snapchat","tumblr","pinterest","outras_plataformas","contato","atualizado","preencher","encontrar","compopiniao","compfoto","amigosja","profnetwork","novaamizade","compdetalhe","outros_motivos","tempogasto","usoacademico","profchegaal","melhoraresul","distracao","usoindev","prejintera","bulling","continadeq","outras_dificuldades","evioinfo","grandeuso","facegrupo","trocainfo","compinfopal","quadrovirtual","ID"
1,3,2,2,1,1,1,1,1,1,1,0,1,1,0,0,1,NA,1,1,1,1,1,1,1,0,1,0,NA,9,3,3,2,1,0,0,0,1,NA,2,2,2,1,1,1,1
2,3,2,2,1,1,1,1,1,0,1,1,1,1,0,0,1,NA,1,1,1,1,0,1,0,0,0,0,NA,6,3,2,1,1,1,0,0,0,NA,4,3,2,2,2,1,2
3,3,1,2,1,1,1,1,1,1,1,0,1,1,0,0,1,NA,1,1,1,1,1,0,0,0,1,0,NA,9,2,1,1,1,1,0,0,0,NA,1,1,3,1,2,4,3
4,3,2,2,4,1,1,1,1,0,1,1,1,1,0,0,1,NA,1,1,1,1,1,1,0,1,1,1,NA,6,3,1,2,1,0,0,0,1,NA,1,5,2,1,2,1,4
5,3,2,2,8,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,1,1,1,1,1,1,1,1,NA,7,2,2,2,0,1,0,1,0,NA,1,2,1,1,1,3,5
6,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,0,NA,1,1,1,1,0,1,0,0,0,0,NA,6,2,2,2,1,1,0,0,0,NA,3,2,2,1,1,2,6
7,2,1,2,4,1,1,1,1,0,1,0,1,1,1,0,0,NA,1,1,1,1,0,1,1,0,1,1,NA,7,2,2,3,1,1,0,0,0,NA,2,3,2,1,1,2,7
8,3,1,2,3,1,1,1,1,0,1,1,1,1,1,0,0,"telegram",1,1,1,1,1,1,0,1,1,1,NA,5,2,2,2,0,0,0,0,1,NA,1,5,1,1,1,3,8
9,2,1,2,3,1,1,1,1,0,1,0,0,0,0,0,0,"Telegram",1,1,1,1,1,0,0,0,1,1,NA,5,2,1,3,1,1,0,0,0,NA,1,2,2,2,1,3,9
10,2,3,2,3,1,1,1,1,1,1,1,1,1,0,0,0,NA,0,0,0,1,0,1,0,1,1,0,NA,4,3,1,2,1,1,1,1,0,NA,2,1,3,1,1,3,10
11,2,2,2,2,1,1,1,1,0,1,1,1,1,1,0,0,NA,1,1,1,1,0,1,0,1,0,0,NA,6,3,3,2,1,1,1,0,0,NA,1,3,1,1,1,3,11
12,2,1,2,1,1,1,1,1,0,1,0,1,1,0,0,0,NA,0,1,1,1,0,0,1,0,0,0,NA,5,3,1,3,1,1,0,0,0,NA,3,2,4,1,2,3,12
13,2,1,2,1,1,1,1,1,0,1,0,1,1,0,0,1,"Moodle, Steam",1,1,1,1,0,1,1,0,1,0,NA,5,2,2,2,1,0,0,0,0,NA,3,2,2,1,1,2,13
14,2,1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,"Nico Video, 2chan, Mumble,IRC, Telegram, Discord",0,1,0,1,0,0,0,0,0,0,NA,4,4,3,3,1,0,0,0,0,NA,3,4,2,2,2,3,14
15,3,2,2,3,1,1,1,1,0,1,0,1,1,1,0,0,NA,1,1,1,1,0,1,0,0,0,0,NA,6,3,2,2,1,1,0,0,0,NA,1,3,2,1,1,3,15
16,3,2,2,3,1,1,1,1,1,1,1,1,1,0,0,1,NA,0,1,0,1,0,1,0,0,0,0,NA,5,2,2,2,0,1,0,0,1,NA,1,3,2,1,1,2,16
17,2,1,2,4,1,1,1,1,0,1,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,0,1,0,NA,6,3,3,3,1,0,1,0,0,NA,2,3,2,1,2,2,17
18,2,2,2,3,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,1,1,1,1,0,0,NA,6,2,1,2,1,1,0,0,1,NA,2,3,1,1,1,1,18
19,2,2,2,4,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,0,1,0,1,0,0,0,0,NA,7,2,2,2,1,0,0,1,0,NA,2,3,1,1,1,2,19
20,2,2,2,4,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,0,1,0,1,0,0,0,0,NA,7,2,2,2,1,0,0,1,0,NA,2,3,1,1,1,2,20
21,2,2,2,2,1,1,1,1,1,1,0,0,1,0,0,1,NA,1,1,1,1,0,0,1,0,0,0,NA,6,2,2,2,1,0,0,0,0,NA,4,2,2,3,4,2,21
22,2,1,2,4,1,1,1,1,0,1,0,1,0,0,0,0,"Skype",0,1,1,0,0,0,0,0,0,0,NA,2,2,1,1,1,0,0,0,1,NA,3,1,2,2,1,2,22
23,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,0,1,0,1,0,0,0,0,NA,6,2,3,1,1,1,1,0,1,NA,3,4,2,2,2,2,23
24,2,2,2,4,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,0,1,1,1,1,1,NA,7,3,2,2,1,1,0,0,1,NA,3,4,2,1,1,3,24
25,2,2,2,4,1,1,1,0,1,1,0,1,0,0,0,0,NA,0,1,1,1,0,0,0,0,0,0,NA,6,4,1,3,1,0,0,0,0,NA,2,2,3,2,2,2,25
26,2,1,2,1,1,1,1,1,0,1,1,1,1,1,0,0,NA,1,1,1,1,0,0,1,1,1,1,NA,7,2,3,3,1,1,1,1,1,NA,3,2,1,1,1,1,26
27,3,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,NA,1,1,1,1,0,0,0,0,0,0,NA,5,3,1,3,1,1,0,0,0,NA,1,3,3,2,2,3,27
28,2,2,2,8,1,1,1,1,1,1,0,1,1,0,0,0,NA,1,1,1,1,1,1,1,0,1,1,NA,5,3,3,3,1,0,0,1,0,NA,5,5,3,2,2,2,28
29,3,2,2,4,1,1,1,1,0,1,0,1,1,0,0,1,"telegram, discord",1,0,1,1,0,1,1,0,1,1,NA,6,2,2,2,1,0,0,0,1,NA,1,3,2,1,1,2,29
30,2,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,NA,1,1,1,1,0,0,0,0,0,0,NA,5,2,3,2,1,1,0,0,0,NA,2,1,2,1,1,3,30
31,3,2,2,4,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,1,1,0,1,0,1,NA,5,2,1,2,1,1,1,0,0,NA,3,2,2,1,2,1,31
32,3,3,2,1,1,1,1,1,0,1,0,1,1,0,0,0,NA,1,1,0,1,0,1,0,0,0,0,NA,4,2,3,2,1,1,0,1,0,NA,2,2,2,2,2,3,32
33,2,1,2,4,1,1,1,1,0,1,1,1,1,0,0,0,NA,0,1,1,1,0,0,0,1,0,0,NA,5,2,3,3,1,0,0,1,0,NA,3,2,3,1,1,1,33
34,3,1,2,1,1,1,1,0,0,1,1,1,0,0,0,0,"messenger",1,0,1,0,1,1,1,1,0,0,NA,7,3,3,2,1,1,0,0,0,NA,2,2,3,1,1,3,34
35,2,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,"Github",1,0,1,1,0,0,1,1,1,1,"Receber o material de aula por um grupo no face",5,3,2,2,1,0,0,0,0,NA,1,1,1,1,1,3,35
36,3,2,2,3,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,0,1,0,0,1,0,0,0,NA,4,2,1,3,1,0,0,0,1,NA,4,2,2,2,3,3,36
37,3,2,2,3,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,0,1,1,0,1,1,0,0,0,NA,7,2,1,2,1,0,0,1,1,NA,2,2,1,1,1,1,37
38,3,2,2,4,1,1,1,1,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,1,1,0,NA,5,2,2,2,1,1,0,0,1,NA,2,3,1,1,1,2,38
39,2,2,2,4,1,1,1,1,0,1,0,1,1,0,0,0,"telegram",1,1,1,1,1,0,1,1,0,1,NA,7,3,2,1,1,1,0,0,0,NA,3,2,3,1,1,3,39
40,2,1,2,4,1,1,1,1,0,1,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,0,1,0,NA,6,3,3,2,1,0,1,0,0,NA,2,3,2,1,2,3,40
41,2,2,2,4,1,1,1,1,1,1,0,1,1,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,5,2,2,2,1,1,0,1,0,NA,3,2,3,2,1,1,41
42,3,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,NA,1,1,1,1,1,1,0,1,0,0,NA,9,2,3,2,1,0,0,1,0,NA,2,2,2,2,1,3,42
43,3,2,2,8,1,1,1,1,1,1,1,1,1,0,0,1,NA,1,1,1,1,1,1,1,1,0,1,NA,6,2,1,2,1,0,0,0,0,NA,2,2,3,2,2,2,43
44,3,2,2,1,1,1,1,1,1,1,0,1,1,0,0,1,NA,1,0,1,1,1,1,0,0,0,0,NA,7,2,1,2,1,0,0,0,0,NA,1,1,1,1,1,1,44
45,2,2,2,3,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,1,1,0,1,1,0,1,1,NA,6,3,2,2,1,0,1,0,1,NA,2,3,2,2,2,2,45
46,3,1,2,4,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,1,1,1,1,0,1,1,0,NA,6,2,2,3,1,1,0,0,0,NA,2,3,3,1,1,2,46
47,2,1,2,3,1,1,1,1,1,1,0,1,0,0,0,0,NA,1,1,1,1,0,0,1,1,1,0,NA,4,2,1,3,0,0,0,0,0,"Não ter controle das ações",1,3,2,2,2,4,47
